#MFCC[0],MFCC[1],MFCC[2],MFCC[3],MFCC[4],MFCC[5],MFCC[6],MFCC[7],MFCC[8],MFCC[9],MFCC[10],MFCC[11],MFCC[12],MFCC[13],MFCC[14],MFCC[15],MFCC[16],MFCC[17],MFCC[18],MFCC[19],Spectral_Bandwidth,Spectral_Centroid,Spectral_Contrast,Spectral_Flatness,Spectral_Rolloff,Tempogram,Zero_Crossing_Rate,Label
-334.682312,143.7914581,-43.28070068,19.20370483,-22.04775429,-24.0310936,-38.223629,-3.79411006,-16.8850708,-12.79027462,-16.13753891,-23.17671394,-9.545502663,-23.59982491,8.830889702,-18.99605179,-18.66168213,1.273029923,-19.31091309,-2.569504023,1531.746924,1525.117346,21.36507703,0.008297819,2870.865974,0.133393729,0.077985923,1
-345.4734497,141.5449066,-38.18567276,13.44462299,-21.61377907,-23.45584869,-33.79102325,-2.198123693,-17.76783562,-10.44417572,-18.06505394,-23.16441536,-9.836143494,-25.06115532,5.917593956,-17.33579254,-18.44276237,0.445250332,-16.52857971,-4.16036129,1512.292016,1505.963724,21.45589108,0.007818497,2833.016202,0.143681279,0.079266339,1
-353.6827698,138.6289063,-39.9426918,7.895181179,-19.40192413,-19.28931999,-35.48454285,-4.766314507,-16.39700508,-11.61084843,-14.66383743,-20.81502533,-8.071162224,-24.05370331,6.130408764,-14.56195259,-20.84559631,3.269145012,-18.3694725,-5.345818996,1534.082765,1568.023967,21.01892829,0.007741458,2894.1325,0.141964902,0.085252697,1
-338.6101379,144.1581573,-48.80177307,21.88394547,-15.85654831,-21.15145493,-41.35577393,-3.722277641,-18.9631691,-14.97723389,-20.00200844,-20.3563385,-9.539282799,-26.15258217,9.232145309,-21.63934898,-16.71362305,2.301508665,-19.39159012,-2.23969841,1511.251773,1569.199255,21.8216477,0.00528738,2914.882374,0.139029288,0.081231557,1
-345.0792236,125.9267883,-43.26921844,24.69179916,-11.11334133,-21.70171356,-36.33730316,-1.914717674,-19.37030792,-14.90611362,-19.25802422,-20.17187119,-9.966464043,-21.42457962,7.097334385,-22.12754631,-14.56419277,0.432387352,-17.50129318,-1.754288554,1608.951833,1687.179968,21.49179692,0.008091633,3182.680755,0.115874545,0.08635851,1
-342.9533081,143.0772095,-46.74821472,16.71465874,-22.0572567,-19.49402237,-34.55322647,-6.43082428,-21.40056992,-12.48806477,-16.39271355,-20.49832726,-10.24236393,-22.01724243,7.710196018,-19.11460876,-18.00740814,1.244559884,-18.27989006,-3.81774497,1542.789537,1568.036576,21.14142139,0.007718929,3017.348421,0.118345472,0.080575476,1
-323.2214966,141.294693,-47.59547806,11.07358742,-25.14217377,-16.51353264,-39.43180847,-2.621845722,-16.78802872,-12.82966137,-15.48587132,-19.72128105,-5.135895729,-28.96469498,7.295076847,-15.73122025,-25.31111908,5.459344864,-19.32066345,-4.990864277,1570.627225,1666.618026,21.76722031,0.006197375,3056.014854,0.11871348,0.093746977,1
-340.6715393,148.1847076,-44.7413559,9.506037712,-23.50158691,-24.45715332,-35.50643921,-2.85477829,-17.93202019,-11.57517242,-14.93239498,-22.71252823,-10.10801983,-22.75828552,5.674742699,-20.33537292,-17.16439438,0.687229097,-18.32458496,-2.857773542,1446.183681,1500.166057,21.35075475,0.005231483,2739.333436,0.148466406,0.084937506,1
-334.8362427,146.6373901,-49.70435715,12.44705963,-18.77928734,-18.80641174,-38.54713058,-5.840091705,-19.60055923,-14.65811825,-16.22275543,-20.00032997,-9.173267365,-25.75632477,7.15735054,-15.84469891,-20.71648788,3.910570145,-17.93539047,-5.658599854,1495.338306,1545.685837,21.31987355,0.006164397,2883.032567,0.151473139,0.081480989,1
-315.5852966,143.6598358,-49.48503876,16.22833633,-19.74172401,-20.55356598,-40.50315094,-3.075970888,-19.52806854,-16.55765724,-15.94532871,-20.78757858,-10.18922138,-26.41050339,9.714391708,-18.1620636,-19.72677422,3.611528397,-19.64493942,-3.22755909,1490.704503,1557.836988,21.82684274,0.004014343,2829.916221,0.152736843,0.082806756,1
-332.8263855,140.8636627,-48.90075302,10.58537483,-20.09967995,-19.9944725,-37.93598557,-5.239177227,-19.17357445,-13.12782383,-13.48561192,-20.70876312,-9.556498528,-22.98143005,8.889330864,-19.73729897,-16.35930634,1.810297012,-18.19794655,-2.403698683,1524.903625,1562.879517,21.24408481,0.00742703,2922.248996,0.15132183,0.08387402,1
-317.1417236,136.1581116,-43.98114395,15.91880894,-19.55437088,-20.56581116,-34.83568954,-3.594400406,-22.40914726,-13.27170086,-17.24805832,-22.11565781,-10.20761013,-22.73740387,5.143200397,-20.1874485,-14.52877712,0.983997822,-17.37314987,-4.003685474,1537.399645,1611.298657,21.46385544,0.004530084,3001.381851,0.137241479,0.087877775,1
